kelas,hari,sesi,jam,ruangan,total_asprak,dosen,nama_singkat
SE-47-02,SELASA,4.0,15:30,TULT 0705,5,FDF,ADPL
SE-47-03,RABU,3.0,12:30,TULT 0712,5,YPR,ADPL
SE-47-04,SABTU,1.0,07:30,TULT 0705,5,SMS,ADPL
SE-47-01,SABTU,3.0,13:30,TULT 0713,6,DAS,ADPL
SE-48-GABREM,SABTU,2.0,10:30,TULT 0604,1,IGR,ALPRO
IF-48-GABREM,SABTU,4.0,16:30,TULT 0617,1,PEY,ALPRO
IF-48-05,SENIN,1.0,06:30,TULT 0604,6,BMG,ALPRO 2
IF-48-09,SENIN,4.0,15:30,TULT 0712,6,LDS,ALPRO 2
IT-48-02,SENIN,4.0,15:30,TULT 0713,6,FAQ,ALPRO 2
IT-48-03,SELASA,3.0,12:30,TULT 0704,6,FAQ,ALPRO 2
IF-48-03,SELASA,4.0,15:30,TULT 0605,6,UAI,ALPRO 2
IT-48-04,RABU,3.0,12:30,TULT 0705,6,ASA,ALPRO 2
IF-48-10,RABU,4.0,15:30,TULT 0605,6,GKL,ALPRO 2
DS-48-02,RABU,4.0,15:30,TULT 0705,6,ZHH,ALPRO 2
IT-48-05,KAMIS,1.0,06:30,TULT 0605,6,FAUZAN,ALPRO 2
IT-48-GABREM,KAMIS,1.0,06:30,TULT 0704,3,FAQ,ALPRO 2
IF-48-01,KAMIS,2.0,09:30,TULT 0704,6,BMG,ALPRO 2
IF-48-12,KAMIS,2.0,09:30,TULT 0712,6,SLL,ALPRO 2
IT-48-01,KAMIS,4.0,15:30,TULT 0618,6,UAI,ALPRO 2
IF-48-02,JUMAT,1.0,07:30,TULT 0712,6,LDS,ALPRO 2
IF-48-06,JUMAT,1.0,07:30,TULT 0713,6,GKL,ALPRO 2
IF-48-08,JUMAT,3.0,13:30,TULT 0604,6,HWP,ALPRO 2
IF-48-INT,JUMAT,3.0,13:30,TULT 0605,6,JMT,ALPRO 2
DS-48-01,SABTU,1.0,07:30,TULT 0604,6,ASA,ALPRO 2
IF-48-07,SABTU,2.0,10:30,TULT 0605,6,HWP,ALPRO 2
IF-48-04,SABTU,2.0,10:30,TULT 0712,6,PEY,ALPRO 2
DS-48-03,SABTU,3.0,13:30,TULT 0605,6,IGR,ALPRO 2
IF-48-11,SABTU,3.0,13:30,TULT 0712,6,FSV,ALPRO 2
IF-48-01PJJ,SABTU,,07:30,,5,FSV,ALPRO 2
IF-48-02PJJ,SABTU,,07:30,,5,FSV,ALPRO 2
IF-48-03PJJ,SABTU,,07:30,,5,HMT,ALPRO 2
IF-48-GABPJJ,SABTU,,16:30,,3,HMT,ALPRO 2
SE-47-04 ,KAMIS,1.0,15:30, TULT 0712,5,VLY ,BASDAT
SE-47-01,SABTU,1.0,07:30, TULT 0704,6,SYP ,BASDAT
SE-47-03 ,SABTU,1.0,07:30, TULT 0713,5,JYN ,BASDAT
SE-47-02 ,SABTU,4.0,13:30, TULT 0705,6,UII ,BASDAT
IF-47-04,SENIN,1.0,06:30,TULT 0605,6,LZD,DKA
IF-47-02,SENIN,2.0,09:30,TULT 0617,6,ASA,DKA
IF-47-07,SENIN,4.0,15:30,TULT 0704,6,ACK,DKA
IF-47-05,SELASA,1.0,06:30,TULT 0605,6,Sabrina,DKA
IF-47-01,SELASA,3.0,12:30,TULT 0604,6,RSM,DKA
IF-47-09,RABU,1.0,06:30,TULT 0605,6,Sabrina,DKA
IF-47-10,RABU,2.0,09:30,TULT 0605,6,BBD,DKA
IF-47-11,RABU,2.0,09:30,TULT 0617,6,RSM,DKA
IFX-47-GAB,RABU,4.0,15:30,TULT 0713,6,BDP,DKA
IF-47-06,KAMIS,4.0,15:30,TULT 0604,6,IZA,DKA
IF-47-03,KAMIS,4.0,15:30,TULT 0605,6,TRK,DKA
IF-47-12,SABTU,2.0,10:30,TULT 0618,6,LZD,DKA
IF-47-INT,SABTU,3.0,13:30,TULT 0604,5,BBD,DKA
IF-47-08,SABTU,3.0,13:30,TULT 0618,6,Andy,DKA
IF-47-02PJJ,KAMIS,,18:30,,5,LZD,DKA_PJJ
IF-47-01PJJ,SABTU,,18:30,,5,IZA,DKA_PJJ
SE-48-04,SENIN,2.0,09:30,TULT 0604,6,ZHH,DPBO
SE-48-02,SELASA,1.0,06:30,TULT 0713,6,ZHH,DPBO
SE-48-01,RABU,1.0,06:30,TULT 0617,6,SMS,DPBO
SE-48-03,KAMIS,1.0,06:30,TULT 0713,6,IGR,DPBO
SE-GABREM,JUMAT,1.0,07:30,TULT 0705,1,DWF,DPBO
IF-47-GAB02 ,SENIN,1.0,06:30, TULT 0704,3, FAZ ,JARKOM
IT-47-01 ,SENIN,1.0,06:30, TULT 0705,6, RLG ,JARKOM
IF-47-GAB05 ,SENIN,1.0,06:30, TULT 0712,6, UIR ,JARKOM
IF-47-GAB06 ,SENIN,4.0,15:30, TULT 0604,5, SMD,JARKOM
IF-47-GAB07 ,SENIN,4.0,15:30, TULT 0605,6, SMD ,JARKOM
IF-47-INT ,SENIN,4.0,15:30, TULT 0617,4, HHN ,JARKOM
IF-47-GAB04 ,SELASA,4.0,15:30, TULT 0618,5, ISB ,JARKOM
IT-47-GABREM ,RABU,3.0,12:30, TULT 0704,3, VRA ,JARKOM
IT-47-05 ,KAMIS,2.0,09:30, TULT 0705,6, VRA ,JARKOM
IF-47-GAB01 ,KAMIS,4.0,15:30, TULT 0704,6, ISB ,JARKOM
IT-47-03 ,JUMAT,1.0,07:30, TULT 0605,6, GIAN ,JARKOM
IT-47-04 ,JUMAT,3.0,13:30, TULT 0705,6, ALH ,JARKOM
IF-47-01PJJ ,SABTU,1.0,07:30, TULT 0618,5, DVI ,JARKOM
IF-47-02PJJ ,SABTU,1.0,07:30, TULT 0712,5, DVI ,JARKOM
IF-47-GAB03 ,SABTU,1.0,07:30, TULT 0712,6, SBG ,JARKOM
IT-47-02 ,SABTU,3.0,13:30, TULT 0704,6, HASSAN ,JARKOM
SE-47-03,SELASA,1.0,06:30,TULT 0712,5,VLY,KPL
SE-47-02,RABU,1.0,06:30,TULT 0618,6,FDF,KPL
SE-47-04,RABU,4.0,15:30,TULT 0604,5,FDF,KPL
SE-47-01,KAMIS,2.0,09:30,TULT 0617,6,HPY,KPL
IF-47-08 ,SENIN,1.0,06:30, TULT 0618,6, BTG ,PBO
IF-47-03 ,SENIN,2.0,09:30, TULT 0704,6, TRK ,PBO
IF-47-11 ,SENIN,3.0,12:30, TULT 0604,5, UFP ,PBO
IF-47-09 ,SENIN,4.0,15:30, TULT 0618,6, UFP ,PBO
IF-47-01 ,SENIN,4.0,15:30, TULT 0705,6, UFP ,PBO
IF-47-05 ,SELASA,2.0,09:30, TULT 0618,6, NTT ,PBO
IF-47-12 ,SELASA,3.0,12:30, TULT 0618,6, MTD ,PBO
IF-47-10 ,RABU,1.0,06:30, TULT 0604,5, UFP ,PBO
IF-47-INT ,RABU,4.0,15:30, TULT 0617,5, DQU ,PBO
IF-47-02 ,KAMIS,1.0,06:30, TULT 0604,6, ASA ,PBO
IF-47-07 ,KAMIS,2.0,09:30, TULT 0605,6, BTG ,PBO
IF-47-04 ,JUMAT,1.0,07:30, TULT 0604,5, TRK ,PBO
IF-47-01PJJ ,SABTU,2.0,10:30, TULT 0604,5, UAI ,PBO
IF-47-06 ,SABTU,3.0,13:30, TULT 0617,6, BTG ,PBO
IF-47-02PJJ ,SABTU,,18:30, TULT 0604,5, ABK ,PBO
SE-47-03,RABU,2.0,09:30,TULT 0705,6,SMS,PPL
SE-47-04,KAMIS,1.0,06:30,TULT 0617,6,RSC,PPL
SE-47-01,SABTU,1.0,07:30,TULT 0605,6,FLF,PPL
SE-47-02,SABTU,2.0,10:30,TULT 0705,6,FVE,PPL
SE-46-01,SENIN,1.0,06:30,TULT 0617,6,UTY,SISOP
SE-46-02,SENIN,1.0,06:30,TULT 0713,7,END,SISOP
IT-47-GABREM,SENIN,3.0,12:30,TULT 0704,3,END,SISOP
IT-47-01,SELASA,1.0,06:30,TULT 0618,7,END,SISOP
IT-47-04,SELASA,1.0,06:30,TULT 0705,7,FFT,SISOP
DS-47-01,SELASA,2.0,09:30,TULT 0604,7,MKY,SISOP
IF-47-GAB04,SELASA,3.0,12:30,TULT 0605,5,QOR,SISOP
IT-47-02,SELASA,4.0,15:30,TULT 0617,7,IDV,SISOP
IF-47-GAB02,RABU,1.0,06:30,TULT 0705,6,QOR,SISOP
IF-47-GAB05,RABU,2.0,09:30,TULT 0604,5,QOR,SISOP
IT-47-05,RABU,2.0,09:30,TULT 0712,6,UTY,SISOP
IF-47-GAB06,KAMIS,1.0,06:30,TULT 0705,6,MKY,SISOP
DS-47-02,KAMIS,2.0,09:30,TULT 0604,7,RDC,SISOP
DS-47-03,KAMIS,2.0,09:30,TULT 0618,7,RDC,SISOP
IT-47-03,KAMIS,3.0,12:30,TULT 0605,7,GIAN,SISOP
SE-46-03,JUMAT,1.0,07:30,TULT 0617 & 0618,7,FBW,SISOP
IF-47-GAB01,JUMAT,1.0,07:30,TULT 0704,6,QOR,SISOP
IF-47-INT,SABTU,1.0,07:30,TULT 0617,2,AJG,SISOP
SE-46-04,SABTU,2.0,10:30,TULT 0617,6,FBW,SISOP
IF-47-GAB03,SABTU,4.0,16:30,TULT 0704,7,MKY,SISOP
SE-GABREM,SABTU,2.0,10:30,TULT 0704,4,IGR ,STD
