kode_asprak,mk_singkat
ADA,ALPRO 1
ARD,ALPRO 1
AIP,ALPRO 1
AFF,ALPRO 1
ARS,ALPRO 1
AZA,ALPRO 1
DFD,ALPRO 1
ZAK,ALPRO 1
EED,ALPRO 1
FIS,ALPRO 1
FFS,ALPRO 1
RCO,ALPRO 1
GBR,ALPRO 1
GND,ALPRO 1
GWW,ALPRO 1
IHA,ALPRO 1
JUS,ALPRO 1
KSD,ALPRO 1
KRG,ALPRO 1
MNH,ALPRO 1
MTN,ALPRO 1
MFN,ALPRO 1
MFE,ALPRO 1
MIA,ALPRO 1
RFI,ALPRO 1
MRH,ALPRO 1
MSZ,ALPRO 1
MZP,ALPRO 1
NWA,ALPRO 1
NAH,ALPRO 1
NTA,ALPRO 1
NRZ,ALPRO 1
NUI,ALPRO 1
PAM,ALPRO 1
ARK,ALPRO 1
RHF,ALPRO 1
RIA,ALPRO 1
SGS,ALPRO 1
SRA,ALPRO 1
SMI,ALPRO 1
VAS,ALPRO 1
VVY,ALPRO 1
WIP,ALPRO 1
YHL,ALPRO 1
YJA,ALPRO 1
ABA,ALPRO SE
AXR,ALPRO SE
AHS,ALPRO SE
AUA,ALPRO SE
EED,ALPRO SE
FZM,ALPRO SE
FEG,ALPRO SE
FBH,ALPRO SE
RGG,ALPRO SE
MAB,ALPRO SE
MDA,ALPRO SE
MFB,ALPRO SE
MRD,ALPRO SE
NWA,ALPRO SE
OSL,ALPRO SE
PAM,ALPRO SE
RAH,ALPRO SE
ARK,ALPRO SE
RER,ALPRO SE
RIA,ALPRO SE
AZA,ALPRO 2
KSD,ALPRO 2
KRG,ALPRO 2
RTA,ALPRO 2
YJA,ALPRO 2
APY,STD
ABA,STD
ALR,STD
AIZ,STD
AHS,STD
ARA,STD
ANA,STD
AFF,STD
AJA,STD
ARS,STD
AZA,STD
BBB,STD
DRS,STD
EED,STD
FIS,STD
FGS,STD
GBR,STD
GND,STD
GWW,STD
HDA,STD
RGG,STD
IMA,STD
IRM,STD
JOS,STD
JUS,STD
KZN,STD
LRA,STD
MNH,STD
MTN,STD
MPS,STD
MRE,STD
MYA,STD
MAB,STD
MAH,STD
MAG,STD
MAA,STD
MAS,STD
MTA,STD
MFG,STD
MHP,STD
MRR,STD
MZK,STD
MSQ,STD
NMI,STD
NAF,STD
NPA,STD
NRA,STD
NFP,STD
NYZ,STD
NAK,STD
NIC,STD
NNA,STD
NRZ,STD
NAC,STD
AFI,STD
RTA,STD
ARK,STD
RMF,STD
RYD,STD
RMA,STD
RIA,STD
SRP,STD
SMI,STD
VVN,STD
WIP,STD
YHL,STD
ZLP,STD
ARF,ADPL
ANK,ADPL
BAP,ADPL
DRS,ADPL
DIS,ADPL
ESH,ADPL
FAC,ADPL
FMW,ADPL
FIM,ADPL
GAR,ADPL
HHM,ADPL
IRM,ADPL
MHK,ADPL
MOZ,ADPL
MAB,ADPL
MFZ,ADPL
MFM,ADPL
MIO,ADPL
MZI,ADPL
PAA,ADPL
RRF,ADPL
RSR,ADPL
RAL,ADPL
RWB,ADPL
SAN,ADPL
EVE,SISOP
AIZ,SISOP
ARH,SISOP
ANM,SISOP
AAW,SISOP
ARD,SISOP
AMU,SISOP
DOD,SISOP
FMY,SISOP
FMF,SISOP
HIM,SISOP
IHA,SISOP
IMD,SISOP
JOS,SISOP
KAA,SISOP
LSP,SISOP
LNH,SISOP
MDR,SISOP
MIT,SISOP
MYA,SISOP
MFG,SISOP
MFD,SISOP
MRY,SISOP
MZK,SISOP
MZR,SISOP
NRA,SISOP
NAR,SISOP
NIS,SISOP
NNA,SISOP
PKR,SISOP
RAZ,SISOP
RAY,SISOP
RIR,SISOP
RIM,SISOP
RMA,SISOP
ROB,SISOP
SRA,SISOP
SRR,SISOP
UKR,SISOP
VAS,SISOP
YAK,SISOP
YJA,SISOP
ACD,JARKOM
AAR,JARKOM
CPM,JARKOM
CDP,JARKOM
DPP,JARKOM
FMY,JARKOM
FHW,JARKOM
GRA,JARKOM
HGP,JARKOM
HIM,JARKOM
INK,JARKOM
IDP,JARKOM
INB,JARKOM
LSP,JARKOM
MGA,JARKOM
NFP,JARKOM
NWA,JARKOM
NMB,JARKOM
ROJ,JARKOM
STO,JARKOM
SAL,JARKOM
WAS,JARKOM
YAK,JARKOM
AMA,PBO
BBB,PBO
BJG,PBO
DFD,PBO
DZH,PBO
FRH,PBO
FFS,PBO
FYW,PBO
FND,PBO
HAH,PBO
KRG,PBO
MDR,PBO
MEI,PBO
MAH,PBO
MFE,PBO
MHF,PBO
MZR,PBO
NYZ,PBO
NAK,PBO
NIC,PBO
NRD,PBO
OSL,PBO
RTA,PBO
RSA,PBO
ROJ,PBO
SNH,PBO
SRR,PBO
VVN,PBO
ARF,WEBPRO
AZI,WEBPRO
ANM,WEBPRO
ANK,WEBPRO
AAR,WEBPRO
ALE,WEBPRO
FGB,WEBPRO
FAR,WEBPRO
FMW,WEBPRO
FIM,WEBPRO
GIS,WEBPRO
HAH,WEBPRO
HFA,WEBPRO
HSO,WEBPRO
IMA,WEBPRO
KEM,WEBPRO
MAR,WEBPRO
MDA,WEBPRO
MFM,WEBPRO
MAP,WEBPRO
NMB,WEBPRO
RJK,WEBPRO
RAY,WEBPRO
RMF,WEBPRO
RES,WEBPRO
STO,WEBPRO
SDU,WEBPRO
THH,WEBPRO
YFR,WEBPRO
ARF,PPB
ALE,PPB
FGB,PPB
FMW,PPB
FND,PPB
GIS,PPB
HAR,PPB
IOR,PPB
MTA,PPB
MDA,PPB
MAP,PPB
NRD,PPB
RJK,PPB
RGN,PPB
SDU,PPB
WSN,PPB
YFR,PPB
