mk_singkat,nama_lengkap,program_studi,dosen_koor
ALPRO 2,ALGORITMA PEMROGRAMAN 2,IF,UAI
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF,PEY
JARKOM,JARINGAN KOMPUTER,IF,FAZ
SISOP,SISTEM OPERASI,IF,FBW
STD,STRUKTUR DATA,IF,RSM
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF-PJJ,ALH
STD,STRUKTUR DATA,IF-PJJ,HMT
SISOP,SISTEM OPERASI,IF-PJJ,DVI
ALPRO SE,ALGORITMA PEMROGRAMAN,SE,ZHH
ADPL,ARSITEKTUR DAN DESAIN PERANGKAT LUNAK,SE,DAS
STD,STRUKTUR DATA,SE,JYN
PPB,PEMROGRAMAN PERANGKAT BERGERAK,SE,SMS
WEBPRO,PERANCANGAN DAN PEMROGRAMAN WEB,SE,VLY
STD,STRUKTUR DATA,IT,IGR
PBO,PEMROGRAMAN BERORIENTASI OBYEK,IT,MTD
WEBPRO,PEMROGRAMAN WEB,IT,MTD
STD,STRUKTUR DATA,DS,FZD
PBO,PEMROGRAMAN BERORIENTASI OBJEK,DS,ZHH
