kode_asprak,mk_singkat
AFE,ALPRO 1
AMB,ALPRO 1
FJM,ALPRO 1
ENS,ALPRO 1
ACG,ALPRO 1
FTF,ALPRO 1
GAN,ALPRO 1
MBA,ALPRO 1
MNG,ALPRO 1
MRF,ALPRO 1
NMS,ALPRO 1
NHM,ALPRO 1
NDE,ALPRO 1
NRA,ALPRO 1
RBI,ALPRO 1
RFP,ALPRO 1
SGS,ALPRO 1
THH,ALPRO 1
UKR,ALPRO 1
ADA,ALPRO 1
AAA,ALPRO 1
ARR,ALPRO 1
AFF,ALPRO 1
AZA,ALPRO 1
BRI,ALPRO 1
ZAK,ALPRO 1
ERY,ALPRO 1
FIS,ALPRO 1
FEK,ALPRO 1
RCO,ALPRO 1
IST,ALPRO 1
IZM,ALPRO 1
KSD,ALPRO 1
KRG,ALPRO 1
LHF,ALPRO 1
LPM,ALPRO 1
MOD,ALPRO 1
MFE,ALPRO 1
MFD,ALPRO 1
MNF,ALPRO 1
MSZ,ALPRO 1
MVT,ALPRO 1
NRZ,ALPRO 1
RAY,ALPRO 1
RIA,ALPRO 1
SZA,ALPRO 1
TSA,ALPRO 1
YJA,ALPRO 1
AFE,ALPRO SE
AMB,ALPRO SE
FJM,ALPRO SE
ENS,ALPRO SE
ACG,ALPRO SE
FTF,ALPRO SE
GAN,ALPRO SE
MBA,ALPRO SE
MNG,ALPRO SE
MRF,ALPRO SE
NMS,ALPRO SE
NHM,ALPRO SE
NDE,ALPRO SE
NRA,ALPRO SE
RBA,ALPRO SE
RFP,ALPRO SE
SGS,ALPRO SE
THH,ALPRO SE
UKR,ALPRO SE
MVT,ALPRO SE
MOD,ALPRO SE
BRI,ALPRO SE
STO,DKA
ANM,DPBO
CAR,DPBO
FMW,DPBO
FDG,DPBO
GAF,DPBO
GIS,DPBO
IQB,DPBO
MAD,DPBO
MTA,DPBO
MDA,DPBO
MIN,DPBO
RAF,DPBO
RAB,DPBO
RSW,DPBO
RTM,DPBO
YFR,DPBO
ARF,PPB
AZZ,PPB
DEV,PPB
IND,PPB
KAM,PPB
MQS,PPB
MKR,PPB
MAT,PPB
FRB,PPB
MZF,PPB
RAW,PPB
RIH,PPB
RRF,PPB
RMR,PPB
RAS,PPB
ZEN,PPB
EVE,SISOP
AAW,SISOP
AFN,SISOP
ARR,SISOP
BBB,SISOP
BRI,SISOP
FDG,SISOP
GSR,SISOP
HMR,SISOP
JOS,SISOP
KDC,SISOP
KHA,SISOP
MQS,SISOP
MRP,SISOP
MHM,SISOP
NYZ,SISOP
NHM,SISOP
NIS,SISOP
NNA,SISOP
PUR,SISOP
QDK,SISOP
RAZ,SISOP
RAP,SISOP
RAY,SISOP
RMR,SISOP
SRT,SISOP
AFR,STD
ANM,STD
AVJ,STD
BTF,STD
DAR,STD
ENS,STD
EED,STD
FMU,STD
FSI,STD
FTA,STD
GBK,STD
GSR,STD
GAM,STD
HMR,STD
HAP,STD
IMA,STD
IMD,STD
IST,STD
JSA,STD
JAI,STD
JOS,STD
KOP,STD
MRP,STD
MAD,STD
MTN,STD
MOD,STD
MAM,STD
MTA,STD
MFE,STD
MFG,STD
MHA,STD
MFS,STD
MIN,STD
MNF,STD
MSQ,STD
MVT,STD
NNZ,STD
NFP,STD
NAI,STD
NRD,STD
NRA,STD
QDK,STD
RBI,STD
RTA,STD
RYD,STD
RFP,STD
RRN,STD
SGS,STD
SRM,STD
SVR,STD
SUI,STD
SFA,STD
TSA,STD
UKR,STD
VHO,STD
VRE,STD
YAK,STD
YFR,STD
YDA,STD
ZDP,STD
NNA,STD
GAF,STD
ARD,WEBPRO
ARF,WEBPRO
ADR,WEBPRO
HYM,WEBPRO
IND,WEBPRO
IQB,WEBPRO
KAM,WEBPRO
MKR,WEBPRO
MMZ,WEBPRO
MNG,WEBPRO
FRB,WEBPRO
PRK,WEBPRO
RAW,WEBPRO
RIH,WEBPRO
STO,WEBPRO
SFR,WEBPRO
THH,WEBPRO
VDN,WEBPRO
YAE,WEBPRO
ZHN,WEBPRO
ZEN,WEBPRO
ZHI,WEBPRO
