kelas,hari,sesi,jam,ruangan,total_asprak,dosen,nama_singkat
IF-48-05,SENIN,4.0,15:30,TULT 0605,6,HWP,ALPRO 1
IF-48-11,SELASA,3.0,12:30,TULT 0617,6,BMG,ALPRO 1
IF-48-11,SELASA,4.0,15:30,TULT 0704,6,SMS,ALPRO 1
IF-48-09,SELASA,4.0,15:30,TULT 0705,6,GKL,ALPRO 1
IF-48-03PJJ,SELASA,,18:30,TULT 0604,6,ALH,ALPRO 1
IF-48-03,RABU,4.0,15:30,TULT 0704,6,LDS,ALPRO 1
IF-48-03,RABU,4.0,15:30,TULT 0705,6,LDS,ALPRO 1
IF-48-07,KAMIS,1.0,06:30,TULT 0618,6,PEY,ALPRO 1
IF-48-01,KAMIS,2.0,09:30,TULT 0705,6,HWP,ALPRO 1
IF-48-10,KAMIS,3.0,12:30,TULT 0617,6,BMG,ALPRO 1
IF-48-04,KAMIS,3.0,12:30,TULT 0618,6,ALH,ALPRO 1
IF-48-08,KAMIS,4.0,15:30,TULT 0605,6,IGR,ALPRO 1
IF-48-02,SABTU,2.0,07:30,TULT 0705,6,LDS,ALPRO 1
IF-48-06,SABTU,1.0,07:30,TULT 0712,6,UAI,ALPRO 1
IF-48-INT,SABTU,2.0,10:30,TULT 0605 ,6,JMT,ALPRO 1
IF-48-01PJJ,SABTU,,18:30,TULT 0604,6,HMT,ALPRO 1
IF-48-02PJJ,SABTU,,18:30,TULT 0604,6,HMT,ALPRO 1
SE-48-02,SENIN,3.0,12:30,TULT 0617,6,FDF,ALPRO SE
SE-48-03,KAMIS,4.0,15:30,TULT 0604,6,SMS,ALPRO SE
SE-48-01,JUMAT,3.0,13:30,TULT 0705,6,ZHH,ALPRO SE
SE-48-04,JUMAT,3.0,13:30,TULT 0712,6,ZHH,ALPRO SE
SE-47-GAMREM,SABTU,3.0,13:30,TULT 0705,6,IGR,ALPRO SE
IF-46-GAB PJJ,SABTU,,07:30,,3,IZA,DKA
SE-47-03,KAMIS,1.0,06:30,TULT 0704,6,VLY,DPBO
SE-47-01,KAMIS,3.0,15:30,TULT 0704,6,HPY,DPBO
SE-47-04,JUMAT,3.0,13:30,TULT 0704,6,DAS,DPBO
SE-47-02,SABTU,3.0,13:30,TULT 0704,6,ZHH,DPBO
DS-46-02,SENIN,1.0,06:30,TULT 0713,6,DWD,PBO
DS-46-01,SENIN,2.0,09:30,TULT 0617,6,MTD,PBO
DS-46-03,SENIN,2.0,09:30,TULT 0712,6,DWD,PBO
IT-46-02,SENIN,3.0,12:30,TULT 0605,6,HFM,PBO
IF-46-02,SENIN,4.0,15:30,TULT 0618,6,UAI,PBO
IF-46-09,SENIN,4.0,15:30,TULT 0704,6,TRK,PBO
IT-46-03,SELASA,1.0,06:30,TULT 0704,6,BTG,PBO
IF-46-10,SELASA,1.0,06:30,TULT 0618,6,TRK,PBO
IF-46-07,SELASA,2.0,09:30,TULT 0617,6,HFM,PBO
IF-46-12,SELASA,3.0,12:30,TULT 0605,6,TRK,PBO
IF-46-08,SELASA,3.0,12:30,TULT 0618,6,HFM,PBO
IF-46-01,SELASA,4.0,15:30,TULT 0617,6,OCTANTY,PBO
IF-46-01,SELASA,4.0,15:30,TULT 0604,6,OCTANTY,PBO
IT-46-04,SELASA,4.0,15:30,TULT 0618,6,BTG,PBO
IT-46-04,SELASA,4.0,15:30,TULT 0604,6,BTG,PBO
IF-46-11,RABU,1.0,06:30,TULT 0604,6,TRK,PBO
IF-46-01,RABU,1.0,06:30,TULT 0605,6,NTT,PBO
IF-46-04,RABU,2.0,09:30,TULT 0705,6,BTG,PBO
IF-46-01PJJ,RABU,,18:30,TULT 0617,6,DWF,PBO
IF-46-03,KAMIS,2.0,09:30,TULT 0605,6,DWD,PBO
IF-46-INT,KAMIS,3.0,15:30,TULT 0617,6,DQU,PBO
