mk_singkat,nama_lengkap,program_studi,dosen_koor
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF,PEY
STD,STRUKTUR DATA,IF,HUI
SISOP,SISTEM OPERASI,IF,MKY
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF,MTD
ALPRO 1,ALGORITMA DAN PEMROGRAMAN 1,IF-PJJ,HMT
STD,STRUKTUR DATA,IF-PJJ,FSV
SISOP,SISTEM OPERASI,IF-PJJ,DVI
DKA,DASAR KECERDESARAN ARTIFISIAL,IF-PJJ,IZA
PBO,PEMROGRAMAN BERORIENTASI OBJEK,IF-PJJ,UAI
ALPRO SE,ALGORITMA PEMROGRAMAN,SE,ZHH
STD,STRUKTUR DATA,SE,JYN
DPBO,DASAR PEMROGRAMAN BERORIENTASI OBJEK,SE,ZHH
WEBPRO,PERANCANGAN DAN PEMROGRAMAN WEB,SE,VLY
PPB,PEMROGRAMAN PERANGKAT BERGERAK,SE,DWF
STD,STRUKTUR DATA,IT,FSV
PBO,PEMROGRAMAN BERORIENTASI OBYEK,IT,MTD
WEBPRO,PEMROGRAMAN WEB,IT,MTD
STD,STRUKTUR DATA,DS,SLL
PBO,PEMROGRAMAN BERORIENTASI OBJEK,DS,MTD
